"DateTime","Commits"
"2017-12-10 00:00:00",12
"2017-12-17 00:00:00",12
"2017-12-24 00:00:00",0
"2017-12-31 00:00:00",5
"2018-01-07 00:00:00",34
"2018-01-14 00:00:00",5
"2018-01-21 00:00:00",19
"2018-01-28 00:00:00",18
"2018-02-04 00:00:00",18
"2018-02-11 00:00:00",9
"2018-02-18 00:00:00",10
"2018-02-25 00:00:00",21
"2018-03-04 00:00:00",55
"2018-03-11 00:00:00",68
"2018-03-18 00:00:00",49
"2018-03-25 00:00:00",34
"2018-04-01 00:00:00",55
"2018-04-08 00:00:00",40
"2018-04-15 00:00:00",44
"2018-04-22 00:00:00",25
"2018-04-29 00:00:00",30
"2018-05-06 00:00:00",6
"2018-05-13 00:00:00",4
"2018-05-20 00:00:00",6
"2018-05-27 00:00:00",6
"2018-06-03 00:00:00",29
"2018-06-10 00:00:00",62
"2018-06-17 00:00:00",71
"2018-06-24 00:00:00",91
"2018-07-01 00:00:00",49
"2018-07-08 00:00:00",66
"2018-07-15 00:00:00",48
"2018-07-22 00:00:00",106
"2018-07-29 00:00:00",88
"2018-08-05 00:00:00",140
"2018-08-12 00:00:00",83
"2018-08-19 00:00:00",73
"2018-08-26 00:00:00",66
"2018-09-02 00:00:00",42
"2018-09-09 00:00:00",25
"2018-09-16 00:00:00",14
"2018-09-23 00:00:00",12
"2018-09-30 00:00:00",53
"2018-10-07 00:00:00",14
"2018-10-14 00:00:00",33
"2018-10-21 00:00:00",29
"2018-10-28 00:00:00",23
"2018-11-04 00:00:00",51
"2018-11-11 00:00:00",28
"2018-11-18 00:00:00",27
"2018-11-25 00:00:00",64
"2018-12-02 00:00:00",65
"2018-12-09 00:00:00",77
"2018-12-16 00:00:00",50
"2018-12-23 00:00:00",3
"2018-12-30 00:00:00",10
"2019-01-06 00:00:00",47
"2019-01-13 00:00:00",40
"2019-01-20 00:00:00",45
"2019-01-27 00:00:00",29
"2019-02-03 00:00:00",56
"2019-02-10 00:00:00",62
"2019-02-17 00:00:00",90
"2019-02-24 00:00:00",69
"2019-03-03 00:00:00",34
"2019-03-10 00:00:00",45
"2019-03-17 00:00:00",56
"2019-03-24 00:00:00",29
"2019-03-31 00:00:00",30
"2019-04-07 00:00:00",51
"2019-04-14 00:00:00",45
"2019-04-21 00:00:00",38
"2019-04-28 00:00:00",46
"2019-05-05 00:00:00",42
"2019-05-12 00:00:00",50
"2019-05-19 00:00:00",37
"2019-05-26 00:00:00",78
"2019-06-02 00:00:00",91
"2019-06-09 00:00:00",123
"2019-06-16 00:00:00",58
"2019-06-23 00:00:00",58
"2019-06-30 00:00:00",55
"2019-07-07 00:00:00",46
"2019-07-14 00:00:00",38
"2019-07-21 00:00:00",59
"2019-07-28 00:00:00",52
"2019-08-04 00:00:00",59
"2019-08-11 00:00:00",86
"2019-08-18 00:00:00",34
"2019-08-25 00:00:00",40
"2019-09-01 00:00:00",58
"2019-09-08 00:00:00",61
"2019-09-15 00:00:00",66
"2019-09-22 00:00:00",33
"2019-09-29 00:00:00",26
"2019-10-06 00:00:00",126
"2019-10-13 00:00:00",44
"2019-10-20 00:00:00",71
"2019-10-27 00:00:00",29
"2019-11-03 00:00:00",80
"2019-11-10 00:00:00",67
"2019-11-17 00:00:00",94
"2019-11-24 00:00:00",49
"2019-12-01 00:00:00",109
"2019-12-08 00:00:00",90
"2019-12-15 00:00:00",53
"2019-12-22 00:00:00",34
"2019-12-29 00:00:00",48
"2020-01-05 00:00:00",37
"2020-01-12 00:00:00",59
"2020-01-19 00:00:00",52
"2020-01-26 00:00:00",47
"2020-02-02 00:00:00",49
"2020-02-09 00:00:00",59
"2020-02-16 00:00:00",52
"2020-02-23 00:00:00",43
"2020-03-01 00:00:00",56
"2020-03-08 00:00:00",65
"2020-03-15 00:00:00",71
"2020-03-22 00:00:00",123
"2020-03-29 00:00:00",117
"2020-04-05 00:00:00",131
"2020-04-12 00:00:00",120
"2020-04-19 00:00:00",163
"2020-04-26 00:00:00",143
"2020-05-03 00:00:00",176
"2020-05-10 00:00:00",178
"2020-05-17 00:00:00",128
"2020-05-24 00:00:00",68
"2020-05-31 00:00:00",113
"2020-06-07 00:00:00",33
"2020-06-14 00:00:00",74
"2020-06-21 00:00:00",114
"2020-06-28 00:00:00",120
"2020-07-05 00:00:00",113
"2020-07-12 00:00:00",184
"2020-07-19 00:00:00",169
"2020-07-26 00:00:00",165
"2020-08-02 00:00:00",167
"2020-08-09 00:00:00",128
"2020-08-16 00:00:00",117
"2020-08-23 00:00:00",70
"2020-08-30 00:00:00",103
"2020-09-06 00:00:00",152
"2020-09-13 00:00:00",134
"2020-09-20 00:00:00",96
"2020-09-27 00:00:00",81
"2020-10-04 00:00:00",56
"2020-10-11 00:00:00",76
"2020-10-18 00:00:00",86
"2020-10-25 00:00:00",78
"2020-11-01 00:00:00",51
"2020-11-08 00:00:00",69
"2020-11-15 00:00:00",79
"2020-11-22 00:00:00",47
"2020-11-29 00:00:00",77
"2020-12-06 00:00:00",63
"2020-12-13 00:00:00",120
"2020-12-20 00:00:00",43
"2020-12-27 00:00:00",44
"2021-01-03 00:00:00",83
"2021-01-10 00:00:00",76
"2021-01-17 00:00:00",54
"2021-01-24 00:00:00",110
"2021-01-31 00:00:00",147
"2021-02-07 00:00:00",103
"2021-02-14 00:00:00",117
"2021-02-21 00:00:00",94
"2021-02-28 00:00:00",87
"2021-03-07 00:00:00",127
"2021-03-14 00:00:00",145
"2021-03-21 00:00:00",88
"2021-03-28 00:00:00",107
"2021-04-04 00:00:00",107
"2021-04-11 00:00:00",123
"2021-04-18 00:00:00",188
"2021-04-25 00:00:00",94
"2021-05-02 00:00:00",75
"2021-05-09 00:00:00",81
"2021-05-16 00:00:00",102
"2021-05-23 00:00:00",121
"2021-05-30 00:00:00",92
"2021-06-06 00:00:00",132
"2021-06-13 00:00:00",234
"2021-06-20 00:00:00",243
"2021-06-27 00:00:00",175
"2021-07-04 00:00:00",101
"2021-07-11 00:00:00",102
"2021-07-18 00:00:00",127
"2021-07-25 00:00:00",99
"2021-08-01 00:00:00",122
"2021-08-08 00:00:00",97
"2021-08-15 00:00:00",127
"2021-08-22 00:00:00",208
"2021-08-29 00:00:00",173
"2021-09-05 00:00:00",164
"2021-09-12 00:00:00",60
"2021-09-19 00:00:00",110
"2021-09-26 00:00:00",138
"2021-10-03 00:00:00",174
"2021-10-10 00:00:00",115
